Number,Wages,Education,Age,Gender
1056,21,10,40,Female
1057,25,16,37,Male
1058,15.36,17.4,25,Female
1059,21.12,17,45,Female
1060,13.44,16.6,39,Female
1061,20.31,14,37,Male
1062,9.41,13.8,21,Female
1063,6.8,12,19,Female
1064,23.04,11,57,Female
1065,9.21,10,17,Male
1066,13.63,13,25,Female
1067,24,16,44,Male
1068,20.95,13,42,Male
1069,7.5,11.5,44,Female
1070,17.34,12,37,Male
1071,7.05,10,19,Female
1072,21.3,10,31,Female
1073,15,12.5,34,Male
1074,13.56,13,43,Female
1075,32.64,18,48,Male
1076,47.88,19,49,Male
1077,30.38,14,33,Male
1078,23,14,45,Male
1079,6.7,12,17,Male
1080,23.04,12,35,Female
1081,13.82,10,53,Female
1082,6.54,12,17,Male
1083,12,12,28,Male
1084,16.7,19,59,Female
1085,12.8,14.5,36,Female
1086,20,16,47,Male
1087,9.03,16,29,Female
1088,30.24,18,47,Male
1089,16.73,12,40,Female
1090,10,9,64,Male
1091,12.78,11.5,33,Male
1092,21.31,20,26,Male
1093,45.36,15.7,24,Male
1094,20.07,16,43,Male
1095,8.39,17,24,Female
1096,19.2,12,34,Male
1097,35.2,14,40,Female
1098,6.71,12,65,Female
1099,21.6,12,47,Male
1100,23.06,19,23,Female
1101,14.84,10,49,Male
1102,19.18,9,48,Male
1103,12.37,12.5,42,Female
1104,21.04,12,37,Female
1105,6.75,11,61,Female
1106,10.98,12,26,Male
1107,12,13.6,19,Female
1108,10.7,15,28,Female
1109,17.67,15,36,Male
1110,9.99,15.5,23,Male
1111,28.8,12.2,45,Male
1112,14.38,16,27,Female
1113,11.81,10,39,Male
1114,6.5,12,19,Female
1115,22,10,47,Male
1116,17.42,18.1,25,Female
1117,11.61,13.4,40,Female
1118,9.43,12,35,Male
1119,19.9,17,41,Male
1120,8.65,13.1,20,Male
1121,19.2,15.1,47,Male
1122,10.18,12,28,Female
1123,6.76,10,16,Female
1124,12.96,16.3,25,Female
1125,7.35,18,26,Female
1126,40.96,17,52,Male
1127,13.59,12.5,29,Female
1128,9.54,12.5,33,Male
1129,14.49,10,46,Male
1130,28.8,17.1,49,Male
1131,10,11,17,Male
1132,6.7,14,21,Male
1133,26.96,13.5,47,Male
1134,12.19,13,19,Male
1135,6.5,12,19,Female
1136,32.91,17,52,Female
1137,15,14.1,22,Female
1138,15,14,31,Female
1139,5.11,15.6,23,Female
1140,7,15,18,Female
1141,31.2,10,52,Male
1142,23.04,18,38,Female
1143,6.78,13.8,18,Male
1144,15.36,15,52,Female
1145,13.68,11,49,Female
1146,17,13,35,Female
1147,25.92,14,53,Female
1148,6.85,11,17,Male
1149,13.92,14,31,Male
1150,6.7,11,17,Female
1151,16.59,20,26,Female
1152,14.06,12.3,19,Female
1153,5.64,13.9,20,Male
1154,10.45,19.3,45,Female
1155,14.34,10.6,38,Male
1156,14.11,17,30,Female
1157,16.96,0,42,Female
1158,6.7,17,24,Female
1159,7.39,15.5,20,Female
1160,10.85,15,32,Female
1161,3.31,9,34,Female
1162,28.8,12,59,Male
1163,13.96,13.5,27,Male
1164,10,14,26,Male
1165,21.5,16,49,Female
1166,12.81,12,54,Female
1167,19.2,13,39,Female
1168,17.76,15,27,Male
1169,14.4,9,55,Female
1170,40,14,38,Female
1171,10.87,8,51,Female
1172,6.7,12,17,Male
1173,6.91,11,48,Female
1174,15.72,16,43,Female
1175,25.67,13.5,30,Male
1176,29.33,18,40,Female
1177,20,12.3,42,Female
1178,22.98,14,29,Male
1179,10,15,40,Female
1180,11,12,36,Male
1181,8.09,14,22,Female
1182,8.5,17.1,27,Male
1183,19.75,19,33,Male
1184,27.27,14.8,40,Male
1185,11,12,56,Female
1186,12.6,13,38,Female
1187,25.98,15,47,Female
1188,4.03,13.6,30,Female
1189,18,14,31,Male
1190,16.95,18,29,Female
1191,8,8,30,Male
1192,3.19,13,18,Female
1193,6.7,13,18,Female
1194,15.87,15,30,Female
1195,19.61,16.1,30,Female
1196,11.67,10,55,Female
1197,6.8,11,17,Female
1198,13.5,12.8,24,Male
1199,7.95,12.5,33,Female
1200,6.7,13,19,Female
1201,13.53,14,33,Male
1202,8.16,13,18,Male
1203,28.8,16,33,Male
1204,26.4,11,38,Male
1205,25.93,15,42,Female
1206,13.44,12,64,Female
1207,19.26,13.6,39,Male
1208,6.75,11,19,Male
1209,8.5,8,53,Male
1210,9,8,43,Male
1211,12,12,21,Female
1212,11.25,11.5,30,Male
1213,6,13,17,Female
1214,8.89,10,62,Male
1215,26.4,17,39,Male
1216,11.96,10.5,48,Female
1217,25.6,16,40,Male
1218,23.04,15.5,56,Female
1219,7.5,12.5,39,Female
1220,22.2,12,48,Female
1221,6.85,11,18,Male
1222,7.75,13,37,Male
1223,12,13,22,Male
1224,6.85,13,32,Female
1225,22.5,15.4,62,Female
1226,30.24,19,43,Female
1227,13.02,13,37,Female
1228,26.48,15,33,Male
1229,11.52,12,46,Male
1230,17.76,12,42,Female
1231,15.32,7,62,Male
1232,6.49,18.3,24,Female
1233,6.46,15.3,28,Female
1234,11,12,26,Female
1235,7,12.5,34,Female
1236,16.8,15,40,Male
1237,21,16.5,47,Female
1238,13,12,29,Female
1239,26.35,14,36,Female
1240,13.38,12,45,Female
1241,15,19,40,Female
1242,14.8,15,42,Male
1243,27.03,14,32,Male
1244,14.09,13,31,Male
1245,11.43,9,19,Female
1246,4.03,10.4,17,Female
1247,12,11,24,Male
1248,9.6,9,52,Female
1249,18.65,12,28,Male
1250,32.16,18,40,Male
1251,8.05,12,41,Female
1252,8,10.4,34,Male
1253,10,12,19,Male
1254,7.45,14,35,Female
1255,25.81,12,37,Male
1256,29.98,17,44,Female
1257,38,13,34,Male
1258,12.6,12,40,Female
1259,16.46,10.5,44,Female
1260,20.64,18,50,Male
1261,41.14,18,46,Female
1262,10.21,14,21,Female
1263,9.25,8,55,Female
1264,17.81,14.5,42,Female
1265,16,13,34,Male
1266,17.28,15,36,Male
1267,8.5,9,62,Female
1268,11.35,12.2,48,Female
1269,18.24,13.4,29,Female
1270,24.84,15.3,33,Male
1271,6.87,6,55,Female
1272,18.07,15.6,27,Male
1273,10.2,12.5,28,Female
1274,14.28,12,39,Male
1275,10.29,13.6,18,Female
1276,15.57,12,39,Female
1277,7.64,11,31,Male
1278,24.69,13,54,Male
1279,14.98,16,53,Male
1280,8,11.5,46,Female
1281,33.6,16,36,Male
1282,8.74,12,23,Male
1283,26.85,12,31,Female
1284,42.93,20,64,Male
1285,31.2,20,57,Male
1286,25.34,16,29,Male
1287,16.67,18.4,39,Male
1288,19.2,16,51,Male
1289,20.48,17,27,Female
1290,9.17,9.5,63,Male
1291,5.84,14,40,Female
1292,7,11,32,Male
1293,7,9,33,Female
1294,10.34,13.3,41,Female
1295,16.72,14,36,Female
1296,9.6,11,41,Male
1297,12,10,48,Female
1298,15.6,14,27,Male
1299,24.76,15,64,Female
1300,20.88,19,35,Male
1301,6.7,8,30,Female
1302,44.28,15,59,Male
1303,22.08,11,54,Male
1304,18.52,14,25,Male
1305,16.78,14.1,35,Male
1306,17,12,48,Female
1307,20.16,20,56,Male
1308,28.53,16,41,Male
1309,6.85,10,16,Female
1310,15.84,13,64,Male
1311,6.98,12.8,19,Female
1312,21.25,12,42,Male
1313,7.19,11.6,19,Female
1314,15.93,9.2,34,Female
1315,34.56,17,46,Male
1316,13.44,12,39,Female
1317,8.09,8,41,Female
1318,24.14,10.5,49,Male
1319,21.38,10,58,Male
1320,13.19,10,43,Female
1321,23.04,11,39,Female
1322,19.2,12,50,Female
1323,19.2,18,35,Female
1324,14.83,10,51,Male
1325,25.95,15,37,Female
1326,18.57,13.5,31,Male
1327,12.8,11.5,58,Female
1328,18.43,20,30,Female
1329,15.52,17,25,Male
1330,21.6,10,40,Male
1331,9.2,18,27,Female
1332,8.7,19,25,Female
1333,15.36,12,41,Female
1334,10,16,23,Male
1335,9,12,32,Male
1336,7.97,10.3,29,Male
1337,12.13,12.5,31,Male
1338,7.06,15.5,23,Male
1339,26.62,17.3,40,Male
1340,20.77,13,53,Female
1341,20.16,12.5,30,Male
1342,14.4,11,62,Male
1343,6.72,10,18,Male
1344,16.46,9.5,35,Male
1345,10,15.2,25,Female
1346,27.36,16,36,Male
1347,15.84,13,61,Female
1348,7.24,19,28,Female
1349,10,12,22,Female
1350,11.36,9,32,Male
1351,7.5,12,21,Male
1352,9.32,12.5,23,Female
1353,34.56,19.2,51,Female
1354,6.5,11.3,19,Male
1355,6.75,15.3,24,Male
1356,10.5,12,40,Female
1357,13.44,9.5,38,Female
1358,14.7,12.5,34,Male
1359,17.01,13.6,32,Female
1360,30.46,11,57,Male
1361,17,12,31,Female
1362,49.92,20,41,Female
1363,14,10.2,53,Male
1364,45.38,18,36,Male
1365,16.96,19,28,Female
1366,6.85,9.5,22,Female
1367,10.71,10,52,Male
1368,10,14.1,37,Female
1369,10,10,30,Female
1370,19.93,15,48,Male
1371,27.84,18,50,Female
1372,10,14,43,Female
1373,21.84,17,44,Female
1374,27.14,17.2,28,Male
1375,5.8,14,35,Female
1376,7,12,30,Female
1377,15.36,12,39,Female
1378,6.63,13.5,22,Female
1379,15.3,11,56,Male
1380,4.88,12.6,20,Male
1381,6.7,11,18,Female
1382,22.22,9,23,Male
1383,8,12,30,Male
1384,6.4,10.8,18,Female
1385,21.53,10.5,38,Male
1386,16.32,10,58,Female
1387,14.4,14.3,30,Female
1388,20.68,10,48,Male
1389,14,12,23,Male
1390,12.1,14,36,Female
1391,15.51,11.3,32,Male
1392,16.86,13.6,32,Male
1393,23.04,15,33,Female
1394,14,17.5,25,Male
1395,13.07,11,51,Female
1396,16,13,37,Female
1397,6.79,12,35,Female
1398,9,13.5,28,Female
1399,9,10,38,Female
1400,20,13,57,Male
1401,16,13.5,22,Male
1402,27.31,17,44,Male
1403,29.18,16,57,Female
1404,6.9,10,60,Male
1405,14.63,14,23,Female
1406,15.78,13.6,37,Female
1407,24.96,16,37,Male
1408,21.06,15,59,Female
1409,5.97,11.3,34,Female
1410,25.72,8,57,Male
1411,18.41,16,28,Male
1412,7,15.8,21,Female
1413,15.79,19,38,Male
1414,10,8,54,Female
1415,9.19,12,18,Male
1416,19.2,12.6,33,Male
1417,26.72,16,49,Female
1418,10.26,13,31,Female
1419,14.81,15,29,Male
1420,7.5,12,38,Female
1421,8.5,19,31,Female
1422,16.5,12,37,Male
1423,12.49,11,25,Female
1424,10.47,11,29,Male
1425,12,13,39,Female
1426,10,10,58,Female
1427,25.26,15.5,48,Female
1428,30,11,52,Female
1429,12,12,34,Female
1430,6.75,13,56,Female
1431,8.99,10,18,Female
1432,3.41,16,22,Female
1433,9.25,11,37,Male
1434,17.49,16,37,Male
1435,20.11,14,39,Female
1436,9.25,8,33,Female
1437,16.16,17.5,32,Female
1438,6.78,12,19,Female
1439,10,10,48,Female
1440,9.5,10,39,Male
1441,24.19,17,54,Male
1442,23.25,12,27,Male
1443,24.96,17,32,Male
1444,13.37,12,24,Male
1445,20.34,13,32,Male
1446,7.85,13.5,25,Female
1447,17.41,13.3,35,Female
1448,12.85,12,52,Female
1449,12,17,27,Female
1450,17,12,30,Male
1451,13,12,43,Female
1452,7.63,12,23,Female
1453,10.87,12.5,34,Male
1454,22.75,14.4,28,Male
1455,16,11,55,Male
1456,8.5,13,50,Female
1457,19.2,17,56,Male
1458,24.48,17.1,37,Male
1459,7.94,13,24,Male
1460,10,13.1,18,Male
1461,14.59,14,34,Male
1462,17.9,16,27,Male
1463,19.73,15,68,Male
1464,9,17.5,26,Male
1465,11.44,17,22,Male
1466,37.88,19,36,Male
1467,6.75,10.8,17,Male
1468,9.5,12.9,22,Female
1469,19.5,19.4,53,Female
1470,11.64,11,33,Male
1471,23.52,12,32,Male
1472,9.6,12,45,Female
1473,15.42,12.5,39,Male
1474,20.64,18.5,37,Female
1475,14.84,12,45,Female
1476,12.53,12,26,Male
1477,15.5,11,64,Male
1478,10.45,13,31,Female
1479,15.16,17,32,Male
1480,8.57,15,37,Male
1481,10,12,50,Female
1482,13.71,17,44,Female
1483,13.44,15,41,Male
1484,9.5,12.4,44,Female
1485,11.04,14,31,Male
1486,7.75,16.5,30,Female
1487,10,10.6,45,Female
1488,8.74,12,31,Male
1489,25.64,19.1,35,Male
1490,10.48,14,27,Male
1491,9.86,15.5,22,Female
1492,20.28,20,31,Female
1493,10,13.5,45,Female
1494,11.71,16.4,25,Male
1495,6.55,12.5,25,Female
1496,15,12.5,31,Female
1497,20.33,13,38,Male
1498,26.65,17,47,Male
1499,11.52,12.5,24,Female
1500,7.5,12.5,34,Male
1501,19.72,19.5,25,Male
1502,12.05,10,40,Female
1503,10.24,13,53,Female
1504,11.6,12,49,Female
1505,10.22,17.7,61,Female
1506,19.23,20,54,Male
1507,9.74,13,35,Female
1508,11.51,12,19,Male
1509,6.8,13.5,48,Female
1510,22.27,17.6,40,Male
1511,17.07,12,32,Male
1512,17,9,52,Male
1513,8.5,17.5,26,Male
1514,12,12,47,Female
1515,22.19,12,45,Male
1516,6.7,10,16,Female
1517,7.5,14,29,Female
1518,17,13,33,Female
1519,10.12,12,32,Female
1520,14.5,13,37,Male
1521,6.5,15,19,Female
1522,40.96,17,54,Male
1523,6.7,12.8,19,Female
1524,11,10.5,57,Male
1525,23.04,18.7,34,Female
1526,7.69,13,21,Male
1527,10.88,13.8,25,Male
1528,6.7,14,20,Female
1529,12.77,12,36,Female
1530,7,12,18,Female
1531,6.5,19,24,Female
1532,13.41,18,29,Male
1533,15.61,17.3,27,Male
1534,14.26,10,58,Female
1535,7.21,11,17,Male
1536,14.11,10.5,31,Female
1537,5.13,10,16,Female
1538,10,14,59,Female
1539,6.7,8,53,Female
1540,48.29,15.1,46,Male
1541,28.53,17,36,Female
1542,17,13,32,Male
1543,6.65,15.5,20,Male
1544,18.11,13,30,Female
1545,19.12,14,46,Female
1546,13.58,12.8,40,Female
1547,6.75,13,51,Female
1548,13.73,11.3,39,Female
1549,6.35,9,16,Male
1550,16.24,20,48,Male
1551,9,14.6,23,Male
1552,19.8,16,51,Female
1553,10.69,10.5,41,Male
1554,13.68,12.5,31,Male
1555,32.35,12,41,Male
1556,8,14,28,Female
1557,24.96,20,37,Female
1558,23.04,14.5,46,Male
1559,25.93,18,27,Female
1560,19.2,13,57,Male
1561,9.75,11,60,Male
1562,8.79,4,45,Female
1563,17.03,16.1,40,Male
1564,32.52,18.8,42,Male
1565,15.66,8,54,Male
1566,14.43,12,43,Female
1567,25.26,13,56,Male
1568,28.16,19.1,52,Female
1569,15,15,35,Male
1570,14.13,12.9,45,Female
1571,11.94,11.6,45,Female
1572,25.5,20,29,Male
1573,6.7,13,19,Male
1574,25,14.2,40,Female
1575,28.8,13,48,Male
1576,31.15,15,64,Male
1577,14.94,8.3,48,Female
1578,9.85,14.6,21,Female
1579,17.4,10,31,Female
1580,27.22,17,29,Male
1581,22,16.1,40,Male
1582,15.44,13.5,31,Female
1583,17.28,15,32,Female
1584,23.04,12.5,55,Male
1585,15.79,10,52,Male
1586,10.71,14,21,Male
1587,34.9,15,30,Female
1588,14.08,14,51,Male
1589,10,16,25,Male
1590,24.96,17,50,Female
1591,15.26,12,44,Female
1592,10.75,15,22,Male
1593,21.22,17,39,Female
1594,9.97,15.5,27,Male
1595,18.24,8,52,Male
1596,8.75,13,47,Female
1597,8,8,37,Female
1598,14,13,37,Female
1599,12.39,11,20,Female
1600,17.5,4.1,48,Male
1601,12,13,25,Female
1602,15.2,16.3,26,Female
1603,27,16,59,Male
1604,8,11,25,Male
1605,6.35,12.6,18,Female
1606,12.5,13.5,61,Male
1607,9.69,11,17,Female
1608,23.59,15,36,Female
1609,6.7,15,20,Female
1610,6.25,12,53,Female
1611,10.52,10,28,Male
1612,31.6,14,31,Female
1613,6.51,12.3,19,Male
1614,9.83,16.5,26,Female
1615,40.64,17,46,Male
1616,14,10,37,Male
1617,18.94,19,54,Male
1618,7.8,15.5,23,Male
1619,21.16,18,30,Male
1620,8,13,30,Female
1621,10.75,10,19,Male
1622,14.93,17,24,Female
1623,40,19,42,Female
1624,20.35,12.5,52,Female
1625,6,15,20,Female
1626,13.61,12,36,Male
1627,30.48,17,49,Male
1628,17.76,18,44,Female
1629,7.63,12.8,37,Male
1630,12.03,15,26,Female
1631,13,12,48,Female
1632,13.79,13.5,24,Male
1633,7,10.8,19,Male
1634,12.29,12.5,23,Female
1635,18.5,8,58,Male
1636,29.44,17,48,Female
1637,15.91,15,29,Female
1638,7.22,16,23,Female
1639,24.96,16,50,Male
1640,14.84,13,60,Male
1641,17.64,12.5,36,Male
1642,6.51,16,43,Female
1643,22.68,14,41,Male
1644,28.04,10.5,43,Male
1645,7,12,25,Female
1646,21.12,19,42,Female
1647,15.84,17,25,Female
1648,17.81,13,25,Female
1649,25.92,17,47,Male
1650,7.61,14.5,30,Female
1651,17.28,10,31,Female
1652,10.17,12.5,36,Female
1653,7,12,35,Female
1654,31.2,17.3,52,Male
1655,31.33,20,53,Male
1656,22.53,12.5,28,Female
1657,7.5,10,52,Female
1658,14.26,10,41,Male
1659,12,12,59,Female
1660,19.2,17,44,Male
1661,15,11.5,48,Female
1662,22.23,8,57,Male
1663,30,12,61,Female
1664,8.42,12.3,58,Female
1665,20,10,34,Male
1666,19.66,10,48,Male
1667,7.9,12.4,23,Male
1668,37.76,15,50,Male
1669,33.12,20,53,Male
1670,24,9,47,Female
1671,14.07,15.6,50,Female
1672,11.52,15,35,Female
1673,9.58,13.1,19,Male
1674,10.45,14,28,Female
1675,10,8,61,Male
1676,19,14,53,Female
1677,16.2,16.1,48,Male
1678,17.47,14,35,Male
1679,7.1,12,28,Female
1680,15.52,16,44,Female
1681,30.22,11,53,Female
1682,8.62,13,19,Female
1683,39,17,47,Male
1684,24.98,13,40,Male
1685,6.75,12,33,Female
1686,7.5,12,33,Male
1687,10.35,15,43,Female
1688,5.86,11,25,Female
1689,10.92,12,26,Male
1690,10.96,13,36,Female
1691,13.01,9.5,30,Female
1692,24,12.6,42,Male
1693,16,16,26,Female
1694,13.71,12,63,Female
1695,6.25,11,17,Female
1696,25.14,16.5,43,Male
1697,21.33,13.4,34,Male
1698,18.64,17,29,Male
1699,23.55,13,48,Male
1700,6.7,14.5,19,Male
1701,13.83,13,33,Female
1702,15,10,45,Male
1703,10.56,12.5,39,Male
1704,13.23,15,58,Male
1705,16.96,6,54,Female
1706,7,13,59,Female
1707,20.94,16,28,Male
1708,7.2,15,43,Female
1709,12.75,13.4,31,Male
1710,7.34,11.5,65,Female
1711,22.4,12,28,Male
1712,17.38,13,31,Male
1713,12.77,12.9,31,Male
1714,14.38,12,34,Male
1715,26.88,17,42,Female
1716,9,14,34,Female
1717,7.03,12,18,Female
1718,28.64,20,51,Female
1719,8.72,9.9,32,Female
1720,17.99,12,56,Male
1721,10.4,11.9,20,Male
1722,6.75,10.3,44,Female
1723,17.92,12,48,Female
1724,6.7,16,22,Female
1725,13.68,12,28,Male
1726,12.29,9,36,Female
1727,12,14,21,Male
1728,27.69,11,38,Male
1729,3,14,44,Female
1730,6,12,18,Male
1731,25,17,24,Female
1732,11,9,42,Female
1733,17.01,14,37,Female
1734,6,11.8,19,Female
1735,16,10.6,47,Female
1736,11.51,13.2,36,Male
1737,15.81,9.5,51,Male
1738,27.92,19,34,Female
1739,30,10,51,Male
1740,14.21,10.5,54,Female
1741,27.14,12.8,35,Male
1742,30.32,12.6,56,Male
1743,27.84,12,45,Male
1744,11.94,14.6,34,Female
1745,12,15,26,Male
1746,28.9,17,55,Male
1747,16.5,12,42,Male
1748,18.16,10.5,40,Female
1749,7,11.3,18,Male
1750,14,14,23,Male
1751,20.16,12,36,Female
1752,16.8,10,52,Male
1753,20,10.5,51,Male
1754,12,15,36,Female
1755,8.76,18,23,Male
1756,8.2,13,57,Female
1757,12.87,12.7,34,Female
1758,4.89,12,40,Male
1759,15.56,13.4,48,Female
1760,17.41,16,29,Female
1761,9.72,12,51,Female
1762,6.25,12,20,Female
1763,19.46,12.4,35,Male
1764,7,11,56,Female
1765,21.14,14,53,Male
1766,23.77,9.5,65,Male
1767,25,15,47,Male
1768,7,14,19,Female
1769,15.33,20,29,Male
1770,19.95,16,28,Male
1771,12.75,11,42,Male
1772,25.15,16,42,Male
1773,12.07,10.5,37,Male
1774,9.13,15.6,19,Male
1775,9.65,13,37,Female
1776,12,12,34,Male
1777,6.5,10,16,Male
1778,12,13,61,Female
1779,8,10,30,Female
1780,9.83,11.3,21,Female
1781,7.5,0,35,Female
1782,14.37,1,58,Male
1783,6.5,12.4,25,Male
1784,19.68,10,40,Male
1785,9.5,13.5,22,Female
1786,6.67,16,23,Female
1787,23.04,17,39,Male
1788,16.8,14,37,Male
1789,15.86,10,31,Female
1790,28.8,8,54,Male
1791,17.6,12.5,40,Male
1792,10.19,12,27,Male
1793,13.09,6,59,Male
1794,20.64,11,41,Male
1795,12.92,15,35,Female
1796,21.6,17.5,50,Male
1797,26.4,10.5,49,Male
1798,6.75,15.5,22,Female
1799,12.76,12,31,Female
1800,8.5,15,32,Female
1801,16.9,10,53,Female
1802,9.12,13,30,Male
1803,7,13,40,Female
1804,11.5,11,30,Female
1805,17.98,17,34,Male
1806,26.4,14,33,Male
1807,10.3,10,42,Male
1808,16.79,12.5,38,Male
1809,13.28,12.5,54,Female
1810,11,15,28,Female
1811,6.7,14.1,26,Female
1812,9.6,8.5,54,Female
1813,12.8,12,27,Female
1814,23.47,13,36,Male
1815,11,10,41,Female
1816,9.91,20,24,Female
1817,7,11,17,Male
1818,8.62,16,61,Female
1819,17.98,9,49,Male
1820,18,12,32,Male
1821,19.19,13,53,Female
1822,25.6,12,44,Female
1823,28.8,18,42,Male
1824,24.81,12,52,Male
1825,18.22,15.5,23,Female
1826,38.4,19,45,Female
1827,7,15,48,Female
1828,17.26,12,28,Male
1829,6.5,11,37,Female
1830,9.5,11,20,Male
1831,12,11,29,Male
1832,11.91,13.4,30,Female
1833,32.64,18,37,Male
1834,25.44,16.1,46,Female
1835,13.44,11.1,22,Female
1836,13.75,9,16,Male
1837,7.2,12,20,Male
1838,26.88,20,36,Male
1839,16.3,12,27,Male
1840,7.06,13,40,Female
1841,14.97,13,53,Male
1842,20.5,16,52,Female
1843,9.94,15.9,27,Female
1844,7.2,14,28,Female
1845,11.52,20,61,Male
1846,16.32,11.5,38,Male
1847,10.37,15,39,Male
1848,14.35,14,49,Female
1849,10.56,8,51,Female
1850,15.53,14,38,Male
1851,9.58,11,17,Female
1852,12.95,4,54,Male
1853,8.5,12,27,Female
1854,6.7,13,18,Male
1855,11.07,14,42,Male
1856,10.45,8,31,Male
1857,13.99,14,24,Female
1858,13.17,11,46,Female
1859,17.28,10,52,Male
1860,10.93,14,44,Male
1861,3.84,12,44,Male
1862,8.9,12,54,Male
1863,6.85,12,18,Female
1864,14.45,12.5,27,Male
1865,14.89,12,35,Female
1866,15.87,15.3,33,Male
1867,12.11,15,21,Male
1868,26.85,16,37,Female
1869,20.24,14.5,38,Male
1870,11.75,12,21,Female
1871,20.64,15.1,38,Male
1872,11.2,16,39,Male
1873,18,15,29,Male
1874,15.36,19.9,29,Male
1875,12.29,12,33,Female
1876,7.2,8,37,Female
1877,6,11,18,Male
1878,13.04,12.5,33,Female
1879,14.85,10.5,30,Male
1880,8.39,11,36,Female
1881,24,18,36,Male
1882,10.36,14.5,44,Female
1883,18.21,10,46,Female
1884,15.36,12.2,22,Male
1885,17.62,12.5,33,Male
1886,15.39,15,55,Female
1887,17.92,17,28,Female
1888,7,12.5,50,Female
1889,15,13.5,31,Male
1890,8.98,14,31,Female
1891,6.85,14.1,21,Male
1892,15.92,12.5,47,Male
1893,23.04,17.5,41,Male
1894,7,11,16,Male
1895,10,19,26,Male
1896,15.71,12,40,Male
1897,8.98,13.5,22,Female
1898,7.07,10.3,18,Female
1899,12,17,23,Male
1900,10,10.5,36,Male
1901,30.72,17.5,45,Male
1902,11.19,11,21,Male
1903,14.4,13.1,25,Male
1904,18.24,13,33,Male
1905,10.95,10,25,Female
1906,16.05,10.5,26,Male
1907,14.86,8,61,Female
1908,30.72,14,37,Female
1909,18.24,13,41,Female
1910,7,12,19,Female
1911,13.3,13,30,Male
1912,30,12,63,Male
1913,9,12,36,Female
1914,19.76,15.5,20,Female
1915,14.39,12,41,Female
1916,6,9.5,60,Female
1917,18.72,17.2,48,Male
1918,17,12.9,30,Male
1919,17.91,12,24,Male
1920,19.92,13.3,30,Male
1921,15.36,13,34,Female
1922,7.91,12.2,31,Female
1923,7.92,16,28,Male
1924,15.36,14.5,40,Female
1925,8.12,0,53,Female
1926,24,14.2,48,Female
1927,15.17,20,43,Female
1928,13.59,14,25,Male
1929,9.9,13,50,Female
1930,9.81,12.5,24,Male
1931,21.82,12.5,38,Male
1932,24.96,17,31,Female
1933,6.77,10.5,46,Female
1934,18.92,13,53,Male
1935,27.66,14.5,40,Male
1936,10.46,15.5,25,Female
1937,17.91,14,37,Female
1938,21.6,17,51,Female
1939,6.75,12.5,40,Female
1940,13.6,11,31,Male
1941,6,15,22,Male
1942,36,11,49,Male
1943,17.41,13,36,Female
1944,11.17,15,31,Male
1945,7.3,11,18,Male
1946,12.78,15,34,Female
1947,7,12,32,Male
1948,28.56,20,36,Female
1949,9.5,12,59,Female
1950,6.9,12,20,Male
1951,12.84,11,17,Female
1952,16.8,11,50,Male
1953,10.2,10.5,47,Female
1954,16.58,12,41,Male
1955,12.55,8,60,Male
1956,4.98,15,21,Female
1957,14.97,16.6,27,Male
1958,3.43,12.6,31,Male
1959,4.2,2,16,Female
1960,18.57,12,36,Male
1961,21.6,10,35,Male
1962,17.4,15,33,Male
1963,21.84,20,29,Male
1964,18.03,15.1,38,Male
1965,12.46,12,36,Male
1966,16.1,12.5,36,Female
1967,21.18,17,39,Female
1968,38.4,12,39,Male
1969,12.22,11,26,Male
1970,9.72,15,28,Male
1971,21.57,11,34,Male
1972,14.81,14,36,Female
1973,6.81,13,18,Male
1974,17.67,12,43,Male
1975,32.6,20,38,Male
1976,12.8,11.5,46,Female
1977,8.26,11.2,18,Male
1978,16.46,12,32,Female
1979,28.54,17,26,Male
1980,7,18.3,25,Female
1981,29.54,11.5,47,Female
1982,12.07,17,25,Male
1983,15.67,12.5,43,Female
1984,8,11,22,Female
1985,7.25,9.5,45,Female
1986,6.7,16,66,Male
1987,11.93,12.5,30,Female
1988,6.45,12,17,Male
1989,32.47,17,40,Male
1990,8,15,59,Female
1991,7,12,57,Female
1992,32.16,17,40,Female
1993,19.4,17,37,Male
1994,8.9,9,32,Male
1995,7,14,20,Female
1996,9.5,13,27,Male
1997,10.14,17.6,24,Male
1998,8.5,12,34,Female
1999,7.5,6,51,Female
2000,8.37,17,23,Female
2001,15.06,11,42,Male
2002,5.58,10,33,Male
2003,14.6,11,54,Female
2004,10,11,64,Female
2005,7.11,14.6,21,Female
2006,12.8,13,41,Male
2007,6.99,13,48,Female
2008,13.04,18,36,Female
2009,8.57,13,18,Female
2010,18.21,16,57,Female
2011,14.33,11,39,Female
2012,6.47,15.5,22,Female
2013,11.5,13,24,Male
2014,17.35,11.5,32,Female
2015,14.85,8,55,Female
2016,22.56,17,32,Male
2017,6.84,14,19,Female
2018,9.43,14,58,Male
2019,14.44,17.2,38,Female
2020,15.33,13.6,25,Male
2021,12.64,10,34,Female
2022,12.8,20,45,Male
2023,12.48,11,39,Female
2024,10.81,14,20,Male
2025,30.72,15,42,Male
2026,17.5,11,16,Male
2027,10,12,49,Female
2028,21.39,20,35,Female
2029,20.4,20,25,Male
2030,15.5,14,26,Male
2031,19.68,16,42,Male
2032,12.1,10,32,Male
2033,15,13.5,39,Female
2034,8,12,24,Male
2035,10.46,17,31,Male
2036,26.18,20,48,Female
2037,11.76,17.6,32,Female
